# TIA-102.BBAC-A annex_d3_rs_gen_matrix.csv — RS(63,35,29) Generator Matrix G
# Source: TIA-102.BBAC-A PDF, Annex D Table 29 (pages 62-64)
# Extracted from pdftotext -layout output with verification:
#   Top-left 35x35 block = identity matrix;
#   All 35 rows verified as valid RS(63,35,29) codewords
#     (Horner evaluation at alpha^1..alpha^28 = 0, MSB-first column ordering).
# Matrix is 35 rows x 63 columns. Columns 0-34 = identity; columns 35-62 = parity.
# Values are GF(64) elements in decimal (0-63); use octal for spec notation.
row,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,19,62,13,63,40,50,13,12,10,7,60,37,19,57,40,52,8,14,18,57,63,16,41,49,26,6
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,35,37,17,16,9,10,2,28,37,48,24,9,39,12,3,12,22,4,44,33,2,61,28,35,9,46,14
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,49,20,30,20,37,51,58,7,23,10,26,63,54,16,29,57,24,37,19,21,48,55,24,40,1,3,10
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,9,18,47,24,57,14,11,60,16,60,8,18,14,32,1,56,11,10,33,37,60,17,14,11,32,63
4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,5,57,28,37,5,40,36,57,3,48,43,20,15,49,32,16,24,9,62,22,15,15,29,30,17,38,36
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,49,37,2,29,31,14,58,3,36,9,60,16,59,20,58,43,52,56,46,51,55,20,35,23,45,59
6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,59,37,25,38,17,11,15,13,2,39,3,20,41,60,52,2,54,58,57,47,33,32,21,57,61,17,49
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,47,11,43,57,27,38,61,14,33,54,12,44,61,3,62,15,52,24,28,16,62,36,46,4,26,49
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,8,1,57,52,51,54,20,62,45,48,57,52,56,2,9,51,13,22,61,35,15,58,31,19,35,58
9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38,46,30,15,21,10,17,56,32,16,13,17,9,11,14,60,49,42,14,19,11,15,61,62,48,15,57
10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,52,44,57,7,33,16,61,8,24,16,57,43,13,3,53,11,27,48,59,61,45,37,13,1,1,2,31
11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11,44,24,36,44,45,38,32,10,27,14,51,58,21,41,57,60,38,12,60,23,6,28,30,22,59,3
12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,62,45,15,38,23,56,49,52,20,18,9,31,15,29,18,38,36,52,58,52,21,54,36,14,56,49
13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,30,28,16,31,16,44,58,10,50,23,5,29,49,11,48,23,31,36,6,17,5,43,17,13,25,41,24
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52,60,20,46,15,1,2,4,44,7,28,61,50,19,8,33,42,26,50,60,18,21,33,24,11,38,58
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,11,42,26,2,49,35,12,48,2,39,61,13,13,37,54,25,51,25,55,10,62,39,37,55,23,60
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,8,15,31,10,50,9,57,3,16,34,48,8,22,27,43,46,48,48,20,51,17,34,47,16,42,52,25
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,57,57,44,37,11,21,10,41,47,46,52,2,39,33,18,39,61,40,60,9,62,56,15,39,15,33
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,32,44,38,30,18,49,18,50,12,44,13,48,7,42,26,53,8,35,58,33,1,55,54,13,54,42,12
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,49,40,57,22,59,38,13,33,55,8,17,6,22,10,51,10,43,40,39,1,9,50,19,14,8,2
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,47,17,14,50,4,5,28,60,21,53,57,51,24,32,39,25,24,26,55,12,22,60,41,35,50,58,4
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,38,32,44,58,11,34,8,40,12,61,41,12,33,23,1,1,12,56,34,60,45,47,63,11,34,25,34
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,57,62,59,62,28,6,36,46,56,58,23,22,48,19,60,34,46,4,16,45,29,9,17,23,50,34,1,16
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54,60,2,10,43,61,24,16,59,61,28,36,7,59,47,62,60,57,2,53,1,31,40,29,25,54,8,34
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57,36,33,28,58,23,18,20,32,41,38,55,61,24,38,26,17,57,37,23,10,52,35,16,16,48,21,1
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,53,55,31,17,5,63,32,25,44,35,33,11,24,11,31,50,37,49,43,5,51,11,51,57,33,42,19
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43,26,60,7,29,50,32,30,34,8,20,25,55,44,17,1,58,58,59,6,49,15,16,55,5,45,37,3
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,63,47,61,16,31,9,53,9,54,22,29,30,27,25,25,58,37,34,41,48,57,13,32,15,21,3,47
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,16,32,11,31,27,49,32,23,4,28,30,36,18,4,53,55,52,18,50,25,28,50,32,33,20,18,36
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,63,36,60,21,39,1,23,62,45,35,37,9,32,38,33,47,12,24,35,34,60,36,41,30,40,40,15
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42,4,27,33,52,31,53,3,31,57,8,14,62,19,4,14,51,15,55,1,8,10,54,17,52,13,56,10
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,17,60,29,16,56,3,8,50,36,62,62,28,19,43,52,18,50,28,24,51,56,6,16,7,23,44,4
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,61,30,1,41,41,30,14,60,2,12,34,11,14,28,10,18,7,18,36,19,18,1,5,50,6,60,52
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53,19,53,51,10,48,45,12,5,3,3,6,36,4,6,59,14,62,45,6,24,52,11,22,53,63,16,2
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,45,53,10,41,55,35,10,22,29,23,13,61,45,34,55,40,37,46,49,34,41,9,43,7,20,11,28
